"ID","EXPRA_code","sex","age","scale","q_n","question_en","question_de","response","resp_scale"
NA,NA,NA,19,"perceptual abilities",1,"I can compare and discuss differences between two performances or versions of the same piece of music","Ich kann zwei Interpretationen oder Versionen desselben Musikstücks miteinander vergleichen und über die Unterschiede diskutieren.",3,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"musical training",13,"I have had formal training in music theory for ___ years","Ich habe ___ Jahre Unterricht in Musiktheorie (außerhalb der Schule) erhalten.",1,"""0"",""0,5"", ""1"",""2"",""3"",""4-6"",""7 oder mehr"""
NA,NA,NA,19,"perceptual abilities",7,"When I hear music I can usually identify its genre","Wenn ich ein Musikstück höre, kann ich normalerweise die Stilrichtung erkennen.",3,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"musical training",9,"I engaged in regular, daily practice of a musical instrument (including voice) for ___ years","Ich habe regelmäßig und täglich ein Instrument (einschließlich Gesang) für ___ Jahre geübt.",5," ""0"",""1"",""2"",""3"",""4-5"",""6-9"",""10 oder mehr"""
NA,NA,NA,19,"perceptual abilities",6,"I usually know when I’m hearing a song for the first time","Meistens weiß ich, ob ich ein Lied zum ersten Mal höre.",6,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"perceptual abilities",5,"I have trouble recognizing a familiar song when played in a different way or by a different performer","Es fällt mir schwer, ein bekanntes Lied zu erkennen, wenn es auf eine andere Weise oder von einem anderen Interpreten gespielt oder gesungen wird.",1,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"perceptual abilities",8,"When I sing I have no idea whether I’m in tune or not","Wenn ich singe, habe ich keine Ahnung, ob ich richtig oder falsch singe.",5,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"perceptual abilities",3,"I can tell when people sing or play out of tune","Ich kann beurteilen, ob jemand falsch oder richtig singt oder spielt.",7,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"musical training",11,"I have never been complimented for my talents as a musical performer","Ich bin noch nie für meine musikalischen Fähigkeiten gelobt worden.",3,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"musical training",15,"I would not consider myself a musician","Ich würde mich selbst nicht als Musiker/-in bezeichnen",6,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"musical training",10,"I can play the following number of musical instruments (including voice)","Ich kann ___ verschiedene Instrumente  (einschließlich Gesang) spielen.",3,"""0"",""1"",""2"",""3"",""4"",""5"",""6 oder mehr"""
NA,NA,"1",21,"musical training",11,"I have never been complimented for my talents as a musical performer","Ich bin noch nie für meine musikalischen Fähigkeiten gelobt worden.",1,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,"1",21,"perceptual abilities",2,"I can tell when people sing or play out of time with the beat","Ich kann beurteilen, ob jemand nicht im Rhythmus mit der Musik singt oder spielt.",7,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,"1",21,"perceptual abilities",1,"I can compare and discuss differences between two performances or versions of the same piece of music","Ich kann zwei Interpretationen oder Versionen desselben Musikstücks miteinander vergleichen und über die Unterschiede diskutieren.",6,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,"1",21,"musical training",13,"I have had formal training in music theory for ___ years","Ich habe ___ Jahre Unterricht in Musiktheorie (außerhalb der Schule) erhalten.",1,"""0"",""0,5"", ""1"",""2"",""3"",""4-6"",""7 oder mehr"""
NA,NA,"1",21,"perceptual abilities",6,"I usually know when I’m hearing a song for the first time","Meistens weiß ich, ob ich ein Lied zum ersten Mal höre.",6,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,"1",21,"musical training",15,"I would not consider myself a musician","Ich würde mich selbst nicht als Musiker/-in bezeichnen",1,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,"1",21,"musical training",10,"I can play the following number of musical instruments (including voice)","Ich kann ___ verschiedene Instrumente  (einschließlich Gesang) spielen.",2,"""0"",""1"",""2"",""3"",""4"",""5"",""6 oder mehr"""
NA,NA,"1",21,"musical training",12,"At the peak of my interest, I practised ___ hours on my primary instrument (including voice)","An dem Höhepunkt meines Interesses habe ich mein Hauptinstrument ___ Stunden pro Tag geübt.",3,"""0"",""0,5"",""1"",""1,5"",""2"",""3-4"",""5 oder mehr"""
NA,NA,"1",21,"musical training",9,"I engaged in regular, daily practice of a musical instrument (including voice) for ___ years","Ich habe regelmäßig und täglich ein Instrument (einschließlich Gesang) für ___ Jahre geübt.",7," ""0"",""1"",""2"",""3"",""4-5"",""6-9"",""10 oder mehr"""
NA,NA,"1",21,"perceptual abilities",8,"When I sing I have no idea whether I’m in tune or not","Wenn ich singe, habe ich keine Ahnung, ob ich richtig oder falsch singe.",2,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,"1",21,"perceptual abilities",3,"I can tell when people sing or play out of tune","Ich kann beurteilen, ob jemand falsch oder richtig singt oder spielt.",6,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,"1",21,"musical training",14,"During my life time I have had formal training on a musical instrument (including voice) for ___ years","Ich habe ___ Jahre Musikunterricht auf einem Instrument (einschließlich Gesang) in meinem bisherigen Leben gehabt.",7," ""0"",""1"",""2"",""3"",""4-5"",""6-9"",""10 oder mehr"""
NA,NA,"1",21,"perceptual abilities",5,"I have trouble recognizing a familiar song when played in a different way or by a different performer","Es fällt mir schwer, ein bekanntes Lied zu erkennen, wenn es auf eine andere Weise oder von einem anderen Interpreten gespielt oder gesungen wird.",3,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,"1",21,"perceptual abilities",0,"I am able to judge whether someone is a good singer or not","Ich kann beurteilen, ob jemand gut singt oder nicht.",5,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,"1",21,"perceptual abilities",7,"When I hear music I can usually identify its genre","Wenn ich ein Musikstück höre, kann ich normalerweise die Stilrichtung erkennen.",6,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,"1",21,"perceptual abilities",4,"I find it difficult to spot mistakes in a performance of a song even if I know the tune","Ich finde es schwierig Fehler festzustellen, die ein Sänger macht, selbst wenn ich das Lied kenne.",2,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,"XXXX","1",29,"perceptual abilities",8,"When I sing I have no idea whether I’m in tune or not","Wenn ich singe, habe ich keine Ahnung, ob ich richtig oder falsch singe.",2,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,"XXXX","1",29,"perceptual abilities",1,"I can compare and discuss differences between two performances or versions of the same piece of music","Ich kann zwei Interpretationen oder Versionen desselben Musikstücks miteinander vergleichen und über die Unterschiede diskutieren.",6,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,"XXXX","1",29,"musical training",15,"I would not consider myself a musician","Ich würde mich selbst nicht als Musiker/-in bezeichnen",5,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,"XXXX","1",29,"musical training",10,"I can play the following number of musical instruments (including voice)","Ich kann ___ verschiedene Instrumente  (einschließlich Gesang) spielen.",4,"""0"",""1"",""2"",""3"",""4"",""5"",""6 oder mehr"""
NA,"XXXX","1",29,"perceptual abilities",6,"I usually know when I’m hearing a song for the first time","Meistens weiß ich, ob ich ein Lied zum ersten Mal höre.",7,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,"XXXX","1",29,"musical training",11,"I have never been complimented for my talents as a musical performer","Ich bin noch nie für meine musikalischen Fähigkeiten gelobt worden.",2,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,"XXXX","1",29,"musical training",13,"I have had formal training in music theory for ___ years","Ich habe ___ Jahre Unterricht in Musiktheorie (außerhalb der Schule) erhalten.",7,"""0"",""0,5"", ""1"",""2"",""3"",""4-6"",""7 oder mehr"""
NA,"XXXX","1",29,"perceptual abilities",4,"I find it difficult to spot mistakes in a performance of a song even if I know the tune","Ich finde es schwierig Fehler festzustellen, die ein Sänger macht, selbst wenn ich das Lied kenne.",3,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,"XXXX","1",29,"musical training",12,"At the peak of my interest, I practised ___ hours on my primary instrument (including voice)","An dem Höhepunkt meines Interesses habe ich mein Hauptinstrument ___ Stunden pro Tag geübt.",3,"""0"",""0,5"",""1"",""1,5"",""2"",""3-4"",""5 oder mehr"""
NA,"XXXX","1",29,"musical training",9,"I engaged in regular, daily practice of a musical instrument (including voice) for ___ years","Ich habe regelmäßig und täglich ein Instrument (einschließlich Gesang) für ___ Jahre geübt.",5," ""0"",""1"",""2"",""3"",""4-5"",""6-9"",""10 oder mehr"""
NA,"XXXX","1",29,"perceptual abilities",7,"When I hear music I can usually identify its genre","Wenn ich ein Musikstück höre, kann ich normalerweise die Stilrichtung erkennen.",5,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,"XXXX","1",29,"perceptual abilities",2,"I can tell when people sing or play out of time with the beat","Ich kann beurteilen, ob jemand nicht im Rhythmus mit der Musik singt oder spielt.",7,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,"XXXX","1",29,"musical training",14,"During my life time I have had formal training on a musical instrument (including voice) for ___ years","Ich habe ___ Jahre Musikunterricht auf einem Instrument (einschließlich Gesang) in meinem bisherigen Leben gehabt.",6," ""0"",""1"",""2"",""3"",""4-5"",""6-9"",""10 oder mehr"""
NA,"XXXX","1",29,"perceptual abilities",3,"I can tell when people sing or play out of tune","Ich kann beurteilen, ob jemand falsch oder richtig singt oder spielt.",6,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,"XXXX","1",29,"perceptual abilities",5,"I have trouble recognizing a familiar song when played in a different way or by a different performer","Es fällt mir schwer, ein bekanntes Lied zu erkennen, wenn es auf eine andere Weise oder von einem anderen Interpreten gespielt oder gesungen wird.",2,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,"XXXX","1",29,"perceptual abilities",0,"I am able to judge whether someone is a good singer or not","Ich kann beurteilen, ob jemand gut singt oder nicht.",6,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"musical training",15,"I would not consider myself a musician","Ich würde mich selbst nicht als Musiker/-in bezeichnen",6,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"perceptual abilities",0,"I am able to judge whether someone is a good singer or not","Ich kann beurteilen, ob jemand gut singt oder nicht.",6,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"musical training",13,"I have had formal training in music theory for ___ years","Ich habe ___ Jahre Unterricht in Musiktheorie (außerhalb der Schule) erhalten.",1,"""0"",""0,5"", ""1"",""2"",""3"",""4-6"",""7 oder mehr"""
NA,NA,NA,19,"perceptual abilities",6,"I usually know when I’m hearing a song for the first time","Meistens weiß ich, ob ich ein Lied zum ersten Mal höre.",6,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"musical training",10,"I can play the following number of musical instruments (including voice)","Ich kann ___ verschiedene Instrumente  (einschließlich Gesang) spielen.",2,"""0"",""1"",""2"",""3"",""4"",""5"",""6 oder mehr"""
NA,NA,NA,19,"perceptual abilities",8,"When I sing I have no idea whether I’m in tune or not","Wenn ich singe, habe ich keine Ahnung, ob ich richtig oder falsch singe.",2,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"musical training",12,"At the peak of my interest, I practised ___ hours on my primary instrument (including voice)","An dem Höhepunkt meines Interesses habe ich mein Hauptinstrument ___ Stunden pro Tag geübt.",1,"""0"",""0,5"",""1"",""1,5"",""2"",""3-4"",""5 oder mehr"""
NA,NA,NA,19,"perceptual abilities",5,"I have trouble recognizing a familiar song when played in a different way or by a different performer","Es fällt mir schwer, ein bekanntes Lied zu erkennen, wenn es auf eine andere Weise oder von einem anderen Interpreten gespielt oder gesungen wird.",2,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
NA,NA,NA,19,"perceptual abilities",4,"I find it difficult to spot mistakes in a performance of a song even if I know the tune","Ich finde es schwierig Fehler festzustellen, die ein Sänger macht, selbst wenn ich das Lied kenne.",2,"""Stimme ganz und gar nicht zu"", ""Stimme nicht zu"",""Stimme eher nicht zu"",""Weder noch"",""Stimme eher zu"",""Stimme zu"",""Stimme voll und ganz zu"""
